Age,Lat,Long
45,57.7204853,11.9081099
45,57.7209359,11.9075559
45,57.7209359,11.9075559
45,57.7202569,11.9077157
65,57.7202569,11.9077157
48,57.7204853,11.9081099
19,57.7206637,11.9079962
52,57.7206637,11.9079962
47,57.7206637,11.9079962
47,57.7205239,11.9073881
18,57.7205239,11.9073881
43,57.720792,11.9077558
44,57.720792,11.9077558
42,57.7206581,11.9072313
45,57.7206581,11.9072313
51,57.7207948,11.9070786
47,57.7207948,11.9070786
28,57.7207948,11.9070786
19,57.7207948,11.9070786
19,57.7210201,11.9073476
19,57.7209292,11.9070421
37,57.7209292,11.9070421
51,57.7212198,11.9104331
34,57.7210494,11.9097644
38,57.7210494,11.9097644
38,57.7210835,11.9098981
38,57.7210835,11.9098981
39,57.7211176,11.9100319
36,57.7211176,11.9100319
43,57.7211516,11.9101656
38,57.7211516,11.9101656
38,57.7211857,11.9102994
46,57.7212198,11.9104331
46,57.7212198,11.9104331
24,57.7212198,11.9104331
22,57.7212198,11.9104331
53,57.70716,11.96679
53,57.70716,11.96679
50,57.70716,11.96679
19,57.70716,11.96679
48,57.70716,11.96679
33,57.70716,11.96679
62,57.6896248,11.9089422
30,57.6896248,11.9089422
30,57.6896248,11.9089422
29,57.6896248,11.9089422
40,57.6896248,11.9089422
52,57.6893329,11.90897
44,57.6893973,11.9089453
44,57.6894867,11.9086783
37,57.6894867,11.9086783
35,57.6894247,11.908461
51,57.6894247,11.908461
51,57.6894247,11.908461
65,57.6891917,11.9086425
63,57.6893512,11.9082003
64,57.6893512,11.9082003
42,57.6892931,11.9079686
42,57.6892931,11.9079686
40,57.6892931,11.9079686
55,57.6892931,11.9079686
55,57.6891389,11.9082083
55,57.6891963,11.9076909
68,57.6891963,11.9076909
54,57.6891963,11.9076909
28,57.6890492,11.9078068
55,57.6889021,11.9079299
57,57.6896248,11.9089422
57,57.6896248,11.9089422
55,57.6896248,11.9089422
23,57.6896248,11.9089422
59,57.6896248,11.9089422
60,57.6896248,11.9089422
60,57.6896248,11.9089422
60,57.6896248,11.9089422
62,57.6896248,11.9089422
19,57.6896248,11.9089422
26,57.6896248,11.9089422
25,57.6896248,11.9089422
49,57.6896248,11.9089422
29,57.6896248,11.9089422
29,57.6896248,11.9089422
63,57.6893924,11.9090612
41,57.6894867,11.9086783
33,57.6894867,11.9086783
60,57.6894867,11.9086783
61,57.6894867,11.9086783
40,57.6894867,11.9086783
26,57.6894867,11.9086783
66,57.6894867,11.9086783
40,57.6894867,11.9086783
37,57.6894867,11.9086783
64,57.6892446,11.9087244
64,57.6892446,11.9087244
68,57.6894247,11.908461
63,57.6894247,11.908461
52,57.6894247,11.908461
60,57.6894247,11.908461
60,57.6894247,11.908461
69,57.6894247,11.908461
29,57.6894247,11.908461
57,57.6894247,11.908461
57,57.6891917,11.9086425
47,57.6892594,11.9086039
62,57.6892594,11.9086039
19,57.6892594,11.9086039
55,57.6892594,11.9086039
56,57.6892594,11.9086039
56,57.6892594,11.9086039
56,57.6893512,11.9082003
60,57.6893512,11.9082003
39,57.6893512,11.9082003
54,57.6893512,11.9082003
67,57.6893512,11.9082003
39,57.6893512,11.9082003
57,57.6893512,11.9082003
57,57.6893512,11.9082003
57,57.6893512,11.9082003
56,57.6893512,11.9082003
32,57.6893512,11.9082003
32,57.6893512,11.9082003
21,57.6893512,11.9082003
21,57.6891273,11.9083211
30,57.6890769,11.9082392
30,57.6892931,11.9079686
33,57.6892931,11.9079686
27,57.6892931,11.9079686
61,57.6892931,11.9079686
30,57.6892931,11.9079686
40,57.6892931,11.9079686
38,57.6892931,11.9079686
35,57.6892931,11.9079686
54,57.6891389,11.9082083
56,57.6891389,11.9082083
48,57.6891389,11.9082083
20,57.6891389,11.9082083
69,57.6891963,11.9076909
46,57.6891963,11.9076909
48,57.6891963,11.9076909
28,57.6891963,11.9076909
45,57.6891963,11.9076909
45,57.6891963,11.9076909
67,57.6891963,11.9076909
28,57.6891963,11.9076909
66,57.6891963,11.9076909
66,57.6891963,11.9076909
57,57.6890492,11.9078068
57,57.6890492,11.9078068
36,57.6890492,11.9078068
27,57.6890492,11.9078068
58,57.6890492,11.9078068
46,57.6890492,11.9078068
40,57.6890492,11.9078068
27,57.6890492,11.9078068
36,57.6890492,11.9078068
57,57.6890492,11.9078068
29,57.6890492,11.9078068
52,57.6890492,11.9078068
27,57.6889021,11.9079299
59,57.6889021,11.9079299
53,57.6889021,11.9079299
54,57.6889021,11.9079299
54,57.6889021,11.9079299
52,57.6889021,11.9079299
26,57.6889021,11.9079299
27,57.6889021,11.9079299
63,57.6889021,11.9079299
49,57.6889021,11.9079299
49,57.6889021,11.9079299
46,57.650918,12.0419179
49,57.7087012,12.0210699
25,57.7360373,11.9706641
54,57.6727024,12.0014157
41,57.7502559,11.9801852
67,57.6745108,11.8898352
67,57.6713758,11.8796787
67,57.6713758,11.8796787
61,57.6694311,11.9009413
19,57.6694311,11.9009413
36,57.6694311,11.9009413
54,57.6501107,12.0391222
42,57.6644606,11.876221
48,57.6501107,12.0391222
65,57.6505168,12.038595
61,57.6505168,12.038595
25,57.6505168,12.038595
67,57.6277278,11.8990821
43,57.6280869,11.894989
62,57.70716,11.96679
41,57.70716,11.96679
50,57.6751499,11.8908191
43,57.6751499,11.8908191
55,57.6751499,11.8908191
62,57.650918,12.0419179
51,57.650918,12.0419179
47,57.6751499,11.8908191
47,57.70613,11.970257
47,57.6729011,12.001522
40,57.6729011,12.001522
31,57.70716,11.96679
31,57.70716,11.96679
68,57.70716,11.96679
68,57.70716,11.96679
48,57.70716,11.96679
48,57.70716,11.96679
48,57.70716,11.96679
48,57.70716,11.96679
66,57.70716,11.96679
38,57.70716,11.96679
29,57.70716,11.96679
45,57.70716,11.96679
52,57.6730629,12.0016902
57,57.70716,11.96679
57,57.70716,11.96679
47,57.70716,11.96679
47,57.70716,11.96679
60,57.70716,11.96679
60,57.6732974,12.0019743
58,57.6751499,11.8908191
36,57.70716,11.96679
31,57.70716,11.96679
50,57.70716,11.96679
50,57.70716,11.96679
60,57.8906822,12.1940865
59,57.70716,11.96679
56,57.70716,11.96679
50,57.650918,12.0419179
50,57.6729011,12.001522
54,57.70716,11.96679
63,57.70716,11.96679
63,57.650918,12.0419179
63,57.70716,11.96679
58,57.6727024,12.0014157
49,57.650918,12.0419179
42,57.70716,11.96679
42,57.70716,11.96679
42,57.70716,11.96679
42,57.70716,11.96679
42,57.70716,11.96679
59,57.70716,11.96679
59,57.70716,11.96679
60,57.70716,11.96679
60,57.70716,11.96679
60,57.70716,11.96679
22,57.70716,11.96679
55,57.70716,11.96679
55,57.70716,11.96679
35,57.70716,11.96679
50,57.70716,11.96679
66,57.650918,12.0419179
66,57.650918,12.0419179
66,57.650918,12.0419179
69,57.650918,12.0419179
54,57.6504768,12.0423454
47,57.650918,12.0419179
48,57.6506549,12.041721
63,57.6732974,12.0019743
46,57.6730629,12.0016902
45,57.672828,12.00176
66,57.70716,11.96679
66,57.70716,11.96679
66,57.672828,12.00176
66,57.650918,12.0419179
47,57.70716,11.96679
65,57.70716,11.96679
64,57.70716,11.96679
35,57.6694311,11.9009413
53,57.70716,11.96679
34,57.70716,11.96679
20,57.70716,11.96679
24,57.70716,11.96679
24,57.70716,11.96679
61,57.6729011,12.001522
47,57.7072326,11.9670171
60,57.70716,11.96679
40,57.6724423,12.0007124
40,57.650918,12.0419179
54,57.6729011,12.001522
54,57.70716,11.96679
39,57.7503336,11.9798049
38,57.7503336,11.9798049
47,57.650918,12.0419179
65,57.650918,12.0419179
68,57.650918,12.0419179
61,57.70716,11.96679
32,57.6658134,11.8636307
67,57.70716,11.96679
66,57.70716,11.96679
36,57.70716,11.96679
64,57.70716,11.96679
64,57.70716,11.96679
42,57.70716,11.96679
42,57.650918,12.0419179
42,57.6727024,12.0014157
42,57.650918,12.0419179
42,57.650918,12.0419179
